"","Condition","Percent","Homo","Hetero"
"214","PPC_135","40",0.205888269371744,0.1045287514428
"215","PPC_135","60",0.0872486213103862,0.0546741712268941
"216","PPC_135","60",0.0496924682064359,0.0340929327910565
"217","PPC_135","60",0.103584703066687,0.0642169375084617
"218","PPC_135","60",0.100941224117518,0.0674387081870746
"219","PPC_135","60",0.134028454595829,0.0633524342621139
"220","PPC_135","60",0.18520692890672,0.0895924437247763
"221","PPC_135","100",0.0825635014875555,0.0499841747916678
"222","PPC_135","100",0.0514520937536746,0.0361084317759184
"223","PPC_135","100",0.0971439672730437,0.0657301192721093
"224","PPC_135","100",0.101639072915723,0.0575794530979546
"225","PPC_135","100",0.138944265944514,0.0552842230291338
"226","PPC_135","100",0.16172699417427,0.0860340881477183
