"","Paradigm","Condition","Percent","variable","mean_value","sd_value","se_value"
"87","Passive","V1 90","10","Homo",0.088537116075557,0.0253945171725401,0.0113567733307171
"88","Passive","V1 90","10","Hetero",0.112094114420119,0.0362835134601339,0.0162264805118776
"89","Passive","V1 90","20","Homo",0.11393404075488,0.0410031318801436,0.018337158034878
"90","Passive","V1 90","20","Hetero",0.115709018947715,0.0312555190881137,0.0139778930706129
"91","Passive","V1 90","40","Homo",0.141048040843305,0.0319563994372281,0.0142913362915556
"92","Passive","V1 90","40","Hetero",0.125328070964023,0.021134976227045,0.00945184870930293
"93","Passive","V1 90","60","Homo",0.143879692165364,0.0283047272492387,0.0126582588427777
"94","Passive","V1 90","60","Hetero",0.122418778104972,0.0245616626582107,0.0109843094688354
"95","Passive","V1 90","100","Homo",0.142873894337417,0.0253864384147251,0.0113531604003874
"96","Passive","V1 90","100","Hetero",0.117456477779448,0.022058749531831,0.00986497269036316
"97","Passive","V1 135","0","Homo",0,0,0
"98","Passive","V1 135","0","Hetero",0,0,0
"99","Passive","V1 135","10","Homo",0.0921370132005731,0.02954203249414,0.013211598570081
"100","Passive","V1 135","10","Hetero",0.0817377734705666,0.0289052311317232,0.0129268123431753
"101","Passive","V1 135","20","Homo",0.121637399898877,0.0370714907859129,0.0165788746849117
"102","Passive","V1 135","20","Hetero",0.0882716707836006,0.0259910016119604,0.01162352928153
"103","Passive","V1 135","40","Homo",0.123167343531917,0.0148891002327046,0.00665860804882709
"104","Passive","V1 135","40","Hetero",0.086465996246794,0.0242028516811249,0.0108238443216681
"105","Passive","V1 135","60","Homo",0.129352230858918,0.0359641324290944,0.0160836489726519
"106","Passive","V1 135","60","Hetero",0.0906311490054772,0.0217867221603692,0.0097433183514973
"107","Passive","V1 135","100","Homo",0.12982459274707,0.0302693174959793,0.0135368503107067
"108","Passive","V1 135","100","Hetero",0.0981878748672091,0.0186847373210402,0.00835606855831463
"109","Passive","PPC 45","0","Homo",0.0364979939237327,0.0347806182496376,0.0131458380476594
"110","Passive","PPC 45","0","Hetero",0.0317661537200361,0.0292562679789107,0.0110578299088657
"111","Passive","PPC 45","10","Homo",0.11232802778007,0.025375069560025,0.00959087479382733
"112","Passive","PPC 45","10","Hetero",0.106080449006538,0.0318471347645364,0.0120370855081318
"113","Passive","PPC 45","20","Homo",0.126231224717315,0.0263293603375613,0.0099515628046564
"114","Passive","PPC 45","20","Hetero",0.116527575893737,0.0270542429592328,0.01022554268275
"115","Passive","PPC 45","40","Homo",0.13043692485892,0.0183455348458616,0.00693396041008848
"116","Passive","PPC 45","40","Hetero",0.12020017247147,0.0223877207955154,0.00846176309235471
"117","Passive","PPC 45","60","Homo",0.130890502821129,0.0109790923837264,0.00414970686693478
"118","Passive","PPC 45","60","Hetero",0.120854299312616,0.0142008271307476,0.00536740814276813
"119","Passive","PPC 45","100","Homo",0.13115904939142,0.00422056154091477,0.00159522231861486
"120","Passive","PPC 45","100","Hetero",0.12459031439752,0.0080298496674757,0.00303499789791077
"121","Passive","PPC 90","0","Homo",0.0340856124712591,0.0437384018500981,0.0165315620055381
"122","Passive","PPC 90","0","Hetero",0.0231367655302486,0.0238734707614026,0.00902332379523474
"123","Passive","PPC 90","10","Homo",0.110585453922278,0.0285281394433443,0.0107826231906374
"124","Passive","PPC 90","10","Hetero",0.10586070120949,0.0349499994995425,0.0132098581425173
"125","Passive","PPC 90","20","Homo",0.123796848156576,0.0151714723642151,0.00573427755691461
"126","Passive","PPC 90","20","Hetero",0.117662344564325,0.0296006665140943,0.0111880003197215
"127","Passive","PPC 90","40","Homo",0.124267449400156,0.00954552377031664,0.00360786886144478
"128","Passive","PPC 90","40","Hetero",0.122507393263888,0.0159700502485847,0.00603611162613718
"129","Passive","PPC 90","60","Homo",0.124620483606718,0.0100550044533992,0.00380043445933445
"130","Passive","PPC 90","60","Hetero",0.120446653334754,0.0122686869982292,0.00463712781580085
"131","Passive","PPC 90","100","Homo",0.125113338677801,0.0133038799633451,0.00502839397932377
"132","Passive","PPC 90","100","Hetero",0.120141432828717,0.0116415993246814,0.00440011095373778
"133","Passive","PPC 135","0","Homo",0.023431585985593,0.0220249117240762,0.00832463415286522
"134","Passive","PPC 135","0","Hetero",0.0310735006898932,0.0318610071643592,0.0120423287824202
"135","Passive","PPC 135","10","Homo",0.0965185849225129,0.0458931939552302,0.0173459968679988
"136","Passive","PPC 135","10","Hetero",0.0902051716072139,0.0431822065688595,0.0163213399491746
"137","Passive","PPC 135","20","Homo",0.107182713154816,0.0387616195445891,0.0146505151041548
"138","Passive","PPC 135","20","Hetero",0.0987217776429704,0.0259673405911966,0.00981473220200273
"139","Passive","PPC 135","40","Homo",0.114870987391544,0.0207743191526356,0.00785195459065141
"140","Passive","PPC 135","40","Hetero",0.106147803765942,0.0142136198974341,0.00537224335408714
"141","Passive","PPC 135","60","Homo",0.122752563281829,0.0126664222517656,0.00478745761130095
"142","Passive","PPC 135","60","Hetero",0.10681024383798,0.0159393614550803,0.006024512352473
"143","Passive","PPC 135","100","Homo",0.126191589213819,0.0126759709240523,0.00479106667018972
"144","Passive","PPC 135","100","Hetero",0.108056976297703,0.0139028180302895,0.00525477129016154
