"","Paradigm","Condition","Percentage","Homocells","Homo","Hetero"
"121","task","V1 135","100",197,18.7817258883249,11.1675126903553
"122","task","V1 135","10",50,100,12
"123","task","V1 135","20",99,57.5757575757576,8.08080808080808
"124","task","V1 135","40",198,28.7878787878788,6.56565656565657
"125","task","V1 135","60",296,19.2567567567568,8.10810810810811
"126","task","V1 135","100",493,11.5618661257606,8.11359026369168
"127","task","V1 135","10",38,100,7.89473684210526
"128","task","V1 135","20",75,70.6666666666667,6.66666666666667
"129","task","V1 135","40",149,35.5704697986577,10.0671140939597
"130","task","V1 135","60",224,23.6607142857143,8.48214285714286
"131","task","V1 135","100",372,14.247311827957,6.18279569892473
"132","task","V1 135","10",30,100,13.3333333333333
"133","task","V1 135","20",59,93.2203389830509,6.77966101694915
"134","task","V1 135","40",117,47.008547008547,5.98290598290598
"135","task","V1 135","60",176,31.25,7.95454545454545
"136","task","V1 135","100",292,18.8356164383562,8.56164383561644
"137","task","V1 135","10",5,100,20
"138","task","V1 135","20",10,80,40
"139","task","V1 135","40",19,42.1052631578947,21.0526315789474
"140","task","V1 135","60",28,28.5714285714286,14.2857142857143
"141","task","V1 135","100",46,17.3913043478261,17.3913043478261
"142","task","V1 135","10",13,100,7.69230769230769
"143","task","V1 135","20",25,100,4
"144","task","V1 135","40",50,54,10
"145","task","V1 135","60",75,36,8
"146","task","V1 135","100",125,21.6,8
"147","task","V1 135","10",5,100,20
"148","task","V1 135","20",9,66.6666666666667,33.3333333333333
"149","task","V1 135","40",18,33.3333333333333,16.6666666666667
"150","task","V1 135","60",26,23.0769230769231,15.3846153846154
"151","task","V1 135","100",43,13.953488372093,9.30232558139535
"152","task","PPC 45","10",8,100,50
"153","task","PPC 45","20",15,80,33.3333333333333
"154","task","PPC 45","40",30,40,20
"155","task","PPC 45","60",45,26.6666666666667,15.5555555555556
"156","task","PPC 45","100",74,16.2162162162162,13.5135135135135
"157","task","PPC 45","10",25,100,44
"158","task","PPC 45","20",49,73.469387755102,38.7755102040816
"159","task","PPC 45","40",97,37.1134020618557,22.680412371134
"160","task","PPC 45","60",146,24.6575342465753,17.8082191780822
"161","task","PPC 45","100",242,14.8760330578512,14.8760330578512
"162","task","PPC 45","10",16,100,25
"163","task","PPC 45","20",32,71.875,31.25
"164","task","PPC 45","40",64,35.9375,18.75
"165","task","PPC 45","60",95,24.2105263157895,15.7894736842105
"166","task","PPC 45","100",158,14.5569620253165,13.9240506329114
"167","task","PPC 45","10",10,90,20
"168","task","PPC 45","20",20,45,15
"169","task","PPC 45","40",40,22.5,12.5
"170","task","PPC 45","60",60,15,13.3333333333333
"171","task","PPC 45","100",100,9,12
"172","task","PPC 45","10",36,83.3333333333333,13.8888888888889
"173","task","PPC 45","20",72,41.6666666666667,9.72222222222222
"174","task","PPC 45","40",144,20.8333333333333,6.94444444444444
"175","task","PPC 45","60",216,13.8888888888889,6.94444444444444
"176","task","PPC 45","100",359,8.35654596100279,7.24233983286908
"177","task","PPC 45","10",27,100,18.5185185185185
"178","task","PPC 45","20",54,50,14.8148148148148
"179","task","PPC 45","40",108,25,10.1851851851852
"180","task","PPC 45","60",161,16.7701863354037,8.07453416149068
"181","task","PPC 45","100",268,10.0746268656716,8.2089552238806
"182","task","PPC 45","10",42,100,28.5714285714286
"183","task","PPC 45","20",84,50,16.6666666666667
"184","task","PPC 45","40",167,25.1497005988024,13.1736526946108
"185","task","PPC 45","60",251,16.7330677290837,12.3505976095618
"186","task","PPC 45","100",417,10.0719424460432,11.2709832134293
"187","task","PPC 90","10",17,76.4705882352941,0
"188","task","PPC 90","20",33,39.3939393939394,0
"189","task","PPC 90","40",66,19.6969696969697,1.51515151515152
"190","task","PPC 90","60",99,13.1313131313131,5.05050505050505
"191","task","PPC 90","100",165,7.87878787878788,4.84848484848485
"192","task","PPC 90","10",7,100,14.2857142857143
"193","task","PPC 90","20",14,71.4285714285714,21.4285714285714
"194","task","PPC 90","40",28,35.7142857142857,10.7142857142857
"195","task","PPC 90","60",42,23.8095238095238,16.6666666666667
"196","task","PPC 90","100",69,14.4927536231884,23.1884057971014
"197","task","PPC 90","10",13,84.6153846153846,15.3846153846154
"198","task","PPC 90","20",25,44,8
"199","task","PPC 90","40",50,22,4
"200","task","PPC 90","60",75,14.6666666666667,9.33333333333333
"201","task","PPC 90","100",124,8.87096774193548,8.87096774193548
"202","task","PPC 90","10",10,100,10
"203","task","PPC 90","20",20,55,15
"204","task","PPC 90","40",40,27.5,20
"205","task","PPC 90","60",59,18.6440677966102,13.5593220338983
"206","task","PPC 90","100",98,11.2244897959184,12.2448979591837
"207","task","PPC 90","10",58,72.4137931034483,8.62068965517241
"208","task","PPC 90","20",116,36.2068965517241,6.03448275862069
"209","task","PPC 90","40",231,18.1818181818182,6.49350649350649
"210","task","PPC 90","60",346,12.1387283236994,7.51445086705202
"211","task","PPC 90","100",576,7.29166666666667,7.8125
"212","task","PPC 90","10",25,80,8
"213","task","PPC 90","20",50,40,4
"214","task","PPC 90","40",100,20,4
"215","task","PPC 90","60",150,13.3333333333333,5.33333333333333
"216","task","PPC 90","100",250,8,6
"217","task","PPC 90","10",36,100,19.4444444444444
"218","task","PPC 90","20",71,53.5211267605634,12.6760563380282
"219","task","PPC 90","40",141,26.9503546099291,9.9290780141844
"220","task","PPC 90","60",211,18.0094786729858,8.05687203791469
"221","task","PPC 90","100",351,10.8262108262108,9.11680911680912
"222","task","PPC 135","10",14,71.4285714285714,14.2857142857143
"223","task","PPC 135","20",28,35.7142857142857,7.14285714285714
"224","task","PPC 135","40",55,18.1818181818182,7.27272727272727
"225","task","PPC 135","60",83,12.0481927710843,6.02409638554217
"226","task","PPC 135","100",137,7.2992700729927,7.2992700729927
"227","task","PPC 135","10",8,100,12.5
"228","task","PPC 135","20",15,53.3333333333333,33.3333333333333
"229","task","PPC 135","40",30,26.6666666666667,26.6666666666667
"230","task","PPC 135","60",45,17.7777777777778,17.7777777777778
"231","task","PPC 135","100",75,10.6666666666667,21.3333333333333
"232","task","PPC 135","10",14,100,21.4285714285714
"233","task","PPC 135","20",28,50,14.2857142857143
"234","task","PPC 135","40",56,25,16.0714285714286
"235","task","PPC 135","60",84,16.6666666666667,10.7142857142857
"236","task","PPC 135","100",140,10,11.4285714285714
"237","task","PPC 135","10",11,100,9.09090909090909
"238","task","PPC 135","20",21,66.6666666666667,9.52380952380952
"239","task","PPC 135","40",41,34.1463414634146,9.75609756097561
"240","task","PPC 135","60",62,22.5806451612903,8.06451612903226
"241","task","PPC 135","100",102,13.7254901960784,7.84313725490196
"242","task","PPC 135","10",47,100,6.38297872340426
"243","task","PPC 135","20",94,53.1914893617021,4.25531914893617
"244","task","PPC 135","40",187,26.7379679144385,3.20855614973262
"245","task","PPC 135","60",280,17.8571428571429,3.92857142857143
"246","task","PPC 135","100",466,10.7296137339056,3.86266094420601
"247","task","PPC 135","10",30,36.6666666666667,3.33333333333333
"248","task","PPC 135","20",59,18.6440677966102,5.08474576271186
"249","task","PPC 135","40",117,9.4017094017094,3.41880341880342
"250","task","PPC 135","60",176,6.25,3.40909090909091
"251","task","PPC 135","100",292,3.76712328767123,3.76712328767123
"252","task","PPC 135","10",33,93.9393939393939,12.1212121212121
"253","task","PPC 135","20",66,46.969696969697,12.1212121212121
"254","task","PPC 135","40",132,23.4848484848485,12.1212121212121
"255","task","PPC 135","60",198,15.6565656565657,11.1111111111111
"256","task","PPC 135","100",329,9.42249240121581,9.72644376899696
